WeekID,Week Position,Song,Performer,SongID
2015-03-07,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-03-14,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-03-21,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-03-28,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-04-04,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-04-11,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-04-18,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars
2015-04-25,1,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth
2015-05-02,1,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth
2015-05-09,1,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth
2015-05-16,1,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth
2015-05-23,1,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth
2015-05-30,1,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth
2015-06-06,1,Bad Blood,Taylor Swift Featuring Kendrick Lamar,Bad BloodTaylor Swift Featuring Kendrick Lamar
2015-06-13,1,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth
2015-06-20,1,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth
2015-06-27,1,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth
2015-07-04,1,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth
2015-07-11,1,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth
2015-07-18,1,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth
2015-07-25,1,Cheerleader,OMI,CheerleaderOMI
2015-08-01,1,Cheerleader,OMI,CheerleaderOMI
2015-08-08,1,Cheerleader,OMI,CheerleaderOMI
2015-08-15,1,Cheerleader,OMI,CheerleaderOMI
2015-08-22,1,Can't Feel My Face,The Weeknd,Can't Feel My FaceThe Weeknd
2015-08-29,1,Cheerleader,OMI,CheerleaderOMI
2015-09-05,1,Cheerleader,OMI,CheerleaderOMI
2015-09-12,1,Can't Feel My Face,The Weeknd,Can't Feel My FaceThe Weeknd
2015-09-19,1,What Do You Mean?,Justin Bieber,What Do You Mean?Justin Bieber
2015-09-26,1,Can't Feel My Face,The Weeknd,Can't Feel My FaceThe Weeknd
2015-10-03,1,The Hills,The Weeknd,The HillsThe Weeknd
2015-10-10,1,The Hills,The Weeknd,The HillsThe Weeknd
