Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Name
2011-06-20,1271.5,1280.420044,1267.560059,1278.359985,1278.359985,3464660000,2011,6,20,Monday
2011-06-27,1268.439941,1284.910034,1267.530029,1280.099976,1280.099976,3479070000,2011,6,27,Monday
2011-07-11,1343.310059,1343.310059,1316.420044,1319.48999,1319.48999,3879130000,2011,7,11,Monday
2011-07-18,1315.939941,1315.939941,1295.920044,1305.439941,1305.439941,4118160000,2011,7,18,Monday
2011-07-25,1344.319946,1344.319946,1331.089966,1337.430054,1337.430054,3536890000,2011,7,25,Monday
2011-08-01,1292.589966,1307.380005,1274.72998,1286.939941,1286.939941,4967390000,2011,8,1,Monday
2011-08-08,1198.47998,1198.47998,1119.280029,1119.459961,1119.459961,2615150000,2011,8,8,Monday
2011-08-15,1178.859985,1204.48999,1178.859985,1204.48999,1204.48999,4272850000,2011,8,15,Monday
2011-08-22,1123.550049,1145.48999,1121.089966,1123.819946,1123.819946,5436260000,2011,8,22,Monday
2011-08-29,1177.910034,1210.280029,1177.910034,1210.079956,1210.079956,4228070000,2011,8,29,Monday
2011-09-12,1153.5,1162.52002,1136.069946,1162.27002,1162.27002,5168550000,2011,9,12,Monday
2011-09-19,1214.98999,1214.98999,1188.359985,1204.089966,1204.089966,4254190000,2011,9,19,Monday
2011-09-26,1136.910034,1164.189941,1131.069946,1162.949951,1162.949951,4762830000,2011,9,26,Monday
2011-10-03,1131.209961,1138.98999,1098.920044,1099.22998,1099.22998,5670340000,2011,10,3,Monday
2011-10-10,1158.150024,1194.910034,1158.150024,1194.890015,1194.890015,4446800000,2011,10,10,Monday
2011-10-17,1224.469971,1224.469971,1198.550049,1200.859985,1200.859985,4300700000,2011,10,17,Monday
2011-10-24,1238.719971,1256.550049,1238.719971,1254.189941,1254.189941,4309380000,2011,10,24,Monday
2011-10-31,1284.959961,1284.959961,1253.160034,1253.300049,1253.300049,4310210000,2011,10,31,Monday
2011-11-07,1253.209961,1261.699951,1240.75,1261.119995,1261.119995,3429740000,2011,11,7,Monday
2011-11-14,1263.849976,1263.849976,1246.680054,1251.780029,1251.780029,3219680000,2011,11,14,Monday
2011-11-21,1215.619995,1215.619995,1183.160034,1192.97998,1192.97998,4050070000,2011,11,21,Monday
2011-11-28,1158.670044,1197.349976,1158.670044,1192.550049,1192.550049,3920750000,2011,11,28,Monday
2011-12-05,1244.329956,1266.72998,1244.329956,1257.079956,1257.079956,4148060000,2011,12,5,Monday
2011-12-12,1255.050049,1255.050049,1227.25,1236.469971,1236.469971,3600570000,2011,12,12,Monday
2011-12-19,1219.73999,1224.569946,1202.369995,1205.349976,1205.349976,3659820000,2011,12,19,Monday
2012-01-09,1277.829956,1281.98999,1274.550049,1280.699951,1280.699951,3371600000,2012,1,9,Monday
2012-01-23,1315.290039,1322.280029,1309.890015,1316.0,1316.0,3770910000,2012,1,23,Monday
2012-01-30,1316.160034,1316.160034,1300.48999,1313.01001,1313.01001,3659010000,2012,1,30,Monday
2012-02-06,1344.319946,1344.359985,1337.52002,1344.329956,1344.329956,3379700000,2012,2,6,Monday
2012-02-13,1343.060059,1353.349976,1343.060059,1351.77002,1351.77002,3618040000,2012,2,13,Monday
2012-02-27,1365.199951,1371.939941,1354.920044,1367.589966,1367.589966,3648890000,2012,2,27,Monday
2012-03-05,1369.589966,1369.589966,1359.130005,1364.329956,1364.329956,3429480000,2012,3,5,Monday
2012-03-12,1370.780029,1373.040039,1366.689941,1371.089966,1371.089966,3081870000,2012,3,12,Monday
2012-03-19,1404.170044,1414.0,1402.430054,1409.75,1409.75,3932570000,2012,3,19,Monday
2012-03-26,1397.109985,1416.579956,1397.109985,1416.51001,1416.51001,3576950000,2012,3,26,Monday
2012-04-02,1408.469971,1422.380005,1404.459961,1419.040039,1419.040039,3572010000,2012,4,2,Monday
2012-04-09,1397.449951,1397.449951,1378.23999,1382.199951,1382.199951,3468980000,2012,4,9,Monday
2012-04-16,1370.27002,1379.660034,1365.380005,1369.569946,1369.569946,3574780000,2012,4,16,Monday
2012-04-23,1378.530029,1378.530029,1358.790039,1366.939941,1366.939941,3654860000,2012,4,23,Monday
2012-04-30,1403.26001,1403.26001,1394.0,1397.910034,1397.910034,3574010000,2012,4,30,Monday
2012-05-07,1368.790039,1373.910034,1363.939941,1369.579956,1369.579956,3559390000,2012,5,7,Monday
2012-05-14,1351.930054,1351.930054,1336.609985,1338.349976,1338.349976,3688120000,2012,5,14,Monday
2012-05-21,1295.72998,1316.390015,1295.72998,1315.98999,1315.98999,3786750000,2012,5,21,Monday
2012-06-04,1278.290039,1282.550049,1266.73999,1278.180054,1278.180054,4011960000,2012,6,4,Monday
2012-06-11,1325.719971,1335.52002,1307.72998,1308.930054,1308.930054,3537530000,2012,6,11,Monday
2012-06-18,1342.420044,1348.219971,1334.459961,1344.780029,1344.780029,3259430000,2012,6,18,Monday
2012-06-25,1334.900024,1334.900024,1309.27002,1313.719971,1313.719971,3501820000,2012,6,25,Monday
2012-07-02,1362.329956,1366.349976,1355.699951,1365.51001,1365.51001,3301650000,2012,7,2,Monday
2012-07-09,1354.660034,1354.869995,1346.650024,1352.459961,1352.459961,2904860000,2012,7,9,Monday
2012-07-16,1356.5,1357.26001,1348.51001,1353.640015,1353.640015,2862720000,2012,7,16,Monday
2012-07-23,1362.339966,1362.339966,1337.560059,1350.52002,1350.52002,3717180000,2012,7,23,Monday
2012-07-30,1385.939941,1391.73999,1381.369995,1385.300049,1385.300049,3212060000,2012,7,30,Monday
2012-08-06,1391.040039,1399.630005,1391.040039,1394.22998,1394.22998,3122050000,2012,8,6,Monday
2012-08-13,1405.869995,1405.869995,1397.319946,1404.109985,1404.109985,2499990000,2012,8,13,Monday
2012-08-20,1417.849976,1418.130005,1412.119995,1418.130005,1418.130005,2766320000,2012,8,20,Monday
2012-08-27,1411.130005,1416.170044,1409.109985,1410.439941,1410.439941,2472500000,2012,8,27,Monday
2012-09-10,1437.920044,1438.73999,1428.97998,1429.079956,1429.079956,3223670000,2012,9,10,Monday
2012-09-17,1465.420044,1465.630005,1457.550049,1461.189941,1461.189941,3482430000,2012,9,17,Monday
2012-09-24,1459.76001,1460.719971,1452.060059,1456.890015,1456.890015,3008920000,2012,9,24,Monday
2012-10-01,1440.900024,1457.140015,1440.900024,1444.48999,1444.48999,3505080000,2012,10,1,Monday
2012-10-08,1460.930054,1460.930054,1453.099976,1455.880005,1455.880005,2328720000,2012,10,8,Monday
2012-10-15,1428.75,1441.310059,1427.23999,1440.130005,1440.130005,3483810000,2012,10,15,Monday
2012-10-22,1433.209961,1435.459961,1422.060059,1433.819946,1433.819946,3216220000,2012,10,22,Monday
2012-11-05,1414.02002,1419.900024,1408.130005,1417.26001,1417.26001,2921040000,2012,11,5,Monday
2012-11-12,1379.859985,1384.869995,1377.189941,1380.030029,1380.030029,2567540000,2012,11,12,Monday
2012-11-19,1359.880005,1386.890015,1359.880005,1386.890015,1386.890015,3374800000,2012,11,19,Monday
2012-11-26,1409.150024,1409.150024,1397.680054,1406.290039,1406.290039,2948960000,2012,11,26,Monday
2012-12-03,1416.339966,1423.72998,1408.459961,1409.459961,1409.459961,3074280000,2012,12,3,Monday
2012-12-10,1418.069946,1421.640015,1415.640015,1418.550049,1418.550049,2999430000,2012,12,10,Monday
