Date,Open,High,Low,Close,Adj Close,Volume,Day,Weekly_Ret,2Weekly_Ret,LogWeekly_Ret,Log2Weekly_Ret,4Weekly_Ret,Log4_Weekly
07-08-15,2082.610107,2082.610107,2067.909912,2077.570068,2077.570068,3602320000,6,-0.0124867,-0.001000089,-0.012565314,-0.001000589,0.000457451,0.000457346
14-08-15,2083.149902,2092.449951,2080.610107,2091.540039,2091.540039,2795590000,6,0.006724188,-0.005846475,0.006701681,-0.005863633,-0.016504841,-0.016642564
21-08-15,2034.079956,2034.079956,1970.890015,1970.890015,1970.890015,5018240000,6,-0.057684779,-0.051348474,-0.05941543,-0.052713749,-0.05229721,-0.053714338
28-08-15,1986.060059,1993.47998,1975.189941,1988.869995,1988.869995,3949080000,6,0.009122772,-0.049088252,0.009081411,-0.05033402,-0.054647734,-0.056197652
04-09-15,1947.76001,1947.76001,1911.209961,1921.219971,1921.219971,3167090000,6,-0.034014302,-0.025201835,-0.03460625,-0.025524839,-0.075256233,-0.078238588
11-09-15,1951.449951,1961.050049,1939.189941,1961.050049,1961.050049,3218590000,6,0.020731659,-0.013987815,0.020519683,-0.014086567,-0.06238943,-0.064420586
18-09-15,1989.660034,1989.660034,1953.449951,1958.030029,1958.030029,6021240000,6,-0.001540001,0.019159731,-0.001541189,0.018978495,-0.006524964,-0.006546344
25-09-15,1935.930054,1952.890015,1921.5,1931.339966,1931.339966,3721870000,6,-0.01363108,-0.015150089,-0.013724836,-0.015266024,-0.028925988,-0.029352591
02-10-15,1921.77002,1951.359985,1893.699951,1951.359985,1951.359985,4378570000,6,0.01036587,-0.003406508,0.010312513,-0.003412323,0.015687956,0.015566172
09-10-15,2013.72998,2020.130005,2007.609985,2014.890015,2014.890015,3706900000,6,0.032556797,0.043260146,0.032038053,0.042350566,0.027454662,0.027084542
16-10-15,2024.369995,2033.540039,2020.459961,2033.109985,2033.109985,3595430000,6,0.009042662,0.041893859,0.009002022,0.041040075,0.03834464,0.037627752
23-10-15,2058.189941,2079.73999,2058.189941,2075.149902,2075.149902,4108460000,6,0.02067764,0.029907284,0.02046676,0.029468782,0.074461223,0.071819348
